Country,CO2,Average_Temperature,Population,GDP,GDP_per_Capita,CO2_per_Capita,CO2_per_Unit_GDP,Government_Rating,Government_Type,Paris_Agreement
Mauritius,4.21,75.11,1259000.0,24467060736.0,19434.0,33.44,21.66,10.0,Republic,Yes
Mexico,481.98,70.73,121858000.0,1860000000000.0,15264.0,39.55,3157.66,8.0,Republic,Yes
Moldova,4.79,52.9,4071000.0,19842347008.0,4874.0,11.75,98.17,9.0,Republic,No
Mongolia,23.24,34.89,2998000.0,33339027456.0,11120.0,77.53,209.02,10.0,Republic,Yes
Montenegro,2.24,50.86,627000.0,11476486144.0,18304.0,35.71,12.23,9.0,Republic,Yes
Morocco,61.03,65.42,34664000.0,260000000000.0,7501.0,17.61,813.64,-4.0,Constitutional Monarchy,Yes
Mozambique,6.31,76.42,27042000.0,31509975040.0,1165.0,2.33,541.1,5.0,Republic,Yes
Namibia,3.96,71.19,2315000.0,28297799680.0,12224.0,17.08,32.36,6.0,Republic,Yes
Nepal,6.01,54.45,27015000.0,74763542528.0,2767.0,2.23,217.31,6.0,Republic,Yes
Netherlands,166.45,51.47,16938000.0,821000000000.0,48471.0,98.27,343.4,10.0,Constitutional Monarchy,Yes
New Zealand,35.84,50.03,4615000.0,153000000000.0,33153.0,77.66,108.1,10.0,Constitutional Monarchy,Yes
